** Object ID ,** URI,Collection,Series,Sub Series,Container 1,Container 2,Source,** Repository,** Title,** Date,** Date – online search,Dimensions,** Extent,** Creator,** Scope and content,Location,** Access,Publisher,Type,Format,** Language,Rights,** Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,
AT-001-011,,AT-001,0,0,0,0,Artefacts - Siddiqi Lab,Archives at NCBS,Vertical electrode puller - Narishige,Unknown,0,30 x 30 x 86 cm,NA,Narishige,Vertical Electrode Puller. Narishige (manufacturing company). Used for the preparation of fine needles in developmental biology. It is a manual system with still functioning gears to hold the needle edges. People who have worked on these setups particularly remember the ‘thuds’ it would make when the task is done and the finality associated with that thud. Still sought after but not in production anymore.,Bangalore,Unrestricted,Archives at NCBS,Artefact,"Artefact, mixed media",NA,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Electrode puller,Scientific process,Narishige,Developmental biology,,,
MS-001_1_1_1_32_0001-0002,,MS-001,1,1,1,32,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Francis Crick to Siddiqi regarding a missed appointment,4/12/1987,1987,11x10 inches,1p,"Crick, Francis",Letter from Francis Crick to Siddiqi regarding a missed appointment,Bombay,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Crick, Francis ","Siddiqi, Obaid",,,,,
MS-001_1_1_1_34_P_0003,,MS-001,1,1,1,34,Siddiqi Papers -- Correspondence,Archives at NCBS,"Ragvankar, Hemant — Request for Autograph",Jan 20 1991,1991,5.8x8 inches,2p,"Ragvankar, Hemant",Request for Siddiqi's autograph from Hemant Ragvankar. Ragvankar includes a self-addressed postcard for Siddiqi to send.,Dombivili,Unrestricted,Archives at NCBS,Letter,Ink on postcard,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Fan mail,Autograph,,,,,
MS-001_1_1_1_36_0001-0003,,MS-001,1,1,1,36,Siddiqi Papers -- Correspondence,Archives at NCBS,"Pontecorvo, Guido. Letters to Siddiqi and Krishnan expressing doubts about visit to Bombay due to ill health.",Aug 24 1992,1992,8.5x11.5 inches,3p,"Pontecorvo, G.",Guido Pontecorvo letters to Siddiqi and Krishnan (copy) where he expresses a desire to visit Bombay but has doubts due to ill health and his condition at 85 years of age.,St Luc,Unrestricted,Archives at NCBS,Letter,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Pontecorvo, G.","Krishnan, K.S.","Siddiqi, O. ",,,,
MS-001_1_1_1_37_0001-0006,,MS-001,1,1,1,37,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from the Union of Concerned Scientists asking for Siddiqi's support for climate awareness campaign, with campaign details enclosed",27/08/1992,1992,11x10 inches,6p,Union of Concerned Scientists,"Letter from the Union Of Concerned Scientists asking for Siddiqi's support for a climate awareness campaign. The letter was mailed to a number of senior scientists around the world and has their signatures. The campaign detail document enclosed mentions a few rather interesting issues the world faces and actions to be taken. Interestingly, it speaks about the problems with the economic system, poverty, developed nations and gender equality. ",Unknown,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Union of Concerned Scientists,Climate,Environment,,,,
MS-001_1_1_1_38_P_0001,,MS-001,1,1,1,38,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Seymour Benzer to Siddiqi  *,28/04/1993,1993,11x10 inches,1p,"Benzer, Seymour",Letter from Seymour Benzer in which he speaks about his health and recent heart attack. He also comments on the political problems in India at the time.,"Pasadena, California",Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Benzer, Seymour",Political turmoil,,,,,
MS-001_1_1_1_38_P_0002,,MS-001,1,1,1,38,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Seymour Benzer to Siddiqi wishing him on his birthday *,14/1/1993,1993,11x10 inches,1p,"Benzer, Seymour",Letter from Seymour Benzer to Siddiqi wishing him on his birthday. He talks about the circumstances in Pasadena (LA Riots) and Bombay (Babri Masjid riots).,Unknown,Unrestricted,Archives at NCBS,Fax,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Benzer, Seymour",Political turmoil,Babri Masjid,Los Angeles Riots,,,
MS-001_1_1_1_4_0004-0007,,MS-001,1,1,1,4,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Michael Kelly to Siddiqi, with his comments and suggestions for experimental methods and references ",5/8/1963,1963,7.5x5 inches,1p,"Kelly, Michael","Michael Kelly's letter to Siddiqi, in which he gives detailed suggestions on experimental techniques that Siddiqi could use, with references to some published papers. ",London,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Kelly, Michael","Siddiqi, Obaid",,,,,
MS-001_1_1_1_5_P_0001,,MS-001,1,1,1,5,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Alan Garen inviting Siddiqi to work at University of Pennsylvania ,20/07/1960,1960,11x8 inches,1p,"Garen, Alan","Letter from Alan Garen to Siddiqi, inviting Siddiqi to work at the University of Pennsylvania where Garen plans to set up good facilities for microbial genetics and protein chemistry. He also recommends Siddiqi to take the course on Bacteriophages at Cold Spring Harbour which is 'excellent'.","Cambridge, Massachusetts",Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Garen, Alan","University of Pennsylvania, Philadelphia","Siddiqi, Obaid",Cold Spring Harbor,Bacteriophage,,
MS-001_1_1_1_6_O_0004,,MS-001,1,1,1,6,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from S. E. Luria to Pontecorvo, offering space in his lab for Siddiqi",12/1/1961,1961,12x7 inches,1p,"Luria, S. E. ",Letter from Luria to Pontecorvo offering space for Siddiqi at the Department of Biology at MIT. He suggests Siddiqi obtain support from the Lalor Foundation for the trip,"Cambridge, Massachusetts",Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Luria, S. E. ",MIT,,,,,
MS-001_1_1_1_6_O_0006,,MS-001,1,1,1,6,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Arthur Chovnick to Pontecorvo, offering Siddiqi to be part of the summer group at Biological Laboratory, Cold Spring Harbour",26/01/1961,1961,11x8 inches,1p,"Chovnick, Arthur",Letter from Chovnick to Pontecorvo  in which he offers Siddiqi to be part of the summer group after reading Pontecorvo's letter and a conversation with Al Garen. He assures support from the Biological Laboratory for Siddiqi's trip. ,"Cold Spring Harbour, New York",Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Cold Spring Harbor,Biological Laboratory ,"Chovnick, Arthur","Siddiqi, Obaid",,,
MS-001_1_1_1_7_P_0001,,MS-001,1,1,1,7,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Lalor foundation to Siddiqi, approving his grant",1/3/1961,1961,11x8 inches,1p,"Lalor Burdick, C",Letter from the director of the Lalor foundation to Siddiqi regarding the approval of $1350 for his research project. ,Delaware,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Lalor Foundation,Cold Spring Harbor,,,,,
MS-001_1_1_1_8_0001-0003,,MS-001,1,1,1,8,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from S. N. Bose to Siddiqi about work opportunities,28/12/1961,1961,8.5x7 inches,3p,"Bose, S. N. ",Letter from Bose to Siddiqi outlining the various opportunities for Siddiqi's research interests and suggestions. He mentions that he has contacted a few friends who have specialised in biology and that he will contact more 'top ranking people'. ,Calcutta,Unrestricted,Archives at NCBS,Letter,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Bose, S. N. ","Siddiqi, Obaid",,,,,
MS-001_1_1_1_9_0002-0003,,MS-001,1,1,1,9,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Pontecorvo to Siddiqi offering help with Indian authorities/bureaucracy *,19/12/1961,1961,10x8 inches,2p,"Pontecorvo, G. ","Letter from Pontecorvo to Siddiqi offering to write to the Indian High Commissioner (Vijaya Lakshmi Pandit, Jawaharlal Nehru's sister) and to bring her attention to India's mismanagement of the best and most promising scientists. ",Glasgow,Unrestricted,Archives at NCBS,Letter,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Pontecorvo, G. ","Siddiqi, Obaid",Indian scientists,,,,
MS-001_1_1_1_9_P_0004,,MS-001,1,1,1,9,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Pontecorvo to Leo Szilard, recommending Siddiqi (comments on Indian scientists.)",21/02/1962,1962,11.5x8 inches,1p,"Pontecorvo, G. ",Letter from Pontecorvo to Leo Szilard recommending Siddiqi and commenting on how mediocre scientists are promoted but nothing is done to retain the good scientists. ,Glasgow,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Recommendation,"Pontecorvo, G. ","Szilard, Leo","Siddiqi, Obaid",Indian scientists,,
MS-001_1_1_1_9_P_0006,,MS-001,1,1,1,9,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Alan Garen to Leo Szilard, recommending Siddiqi *",1/3/1962,1962,11.5x10 inches,1p,"Garen, Alan","Letter from Garen to Leo Szilard recommending Siddiqi and describing the difficulties Siddiqi faces on returning to India- the lack of a suitable laboratory and a position for him. He requests Szilard to help Siddiqi through his 'personal contact with influential Indian scientists, particularly Dr. H. J. Bhabha'",Philadelphia,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Recommendation,"Garen, Alan","Szilard, Leo","Siddiqi, Obaid","Bhabha, Homi",,
MS-001_1_1_1_9_P_0008,,MS-001,1,1,1,9,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from H. J. Bhabha about Siddiqi's return to India *,8/2/1962,1962,11x10 inches,1p,"Bhabha, Homi",Letter from Homi Bhabha to Prime Minister Jawaharlal Nehru on Siddiqi's return to India and the state of Indian science. He comments on the attitude towards scientists and how politicians are given more importance than scientists even though science 'might be of greater significance from a world point of view' (global viewpoint).,Unknown,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Bhabha, Homi",Jawaharlal Nehru,"Siddiqi, Obaid",Indian scientists,,,
